"","ERS025098","ERS025092","ERS025085","ERS025088","ERS025089","ERS025082","ERS025081","ERS025096","ERS025099","ERS025086","ERS025084","ERS025087","ERS025093","ERS025083","ERS025095","ERS025097","ERS025094","ERS025090","ERS025091"
"ENSG00000000003",1354,216,215,924,725,125,796,1954,815,249,4614,6548,5030,1450,781,69,1888,983,3
"ENSG00000000005",712,134,4,1495,119,20,7,0,0,16,975,923,696,15,24,0,20,4,0
"ENSG00000000419",450,547,516,529,808,680,744,369,636,486,1200,2823,2159,933,870,621,1026,1185,765
"ENSG00000000457",188,368,196,386,156,259,436,288,187,553,1543,1194,876,655,862,242,569,609,782
"ENSG00000000460",66,29,1,26,11,9,25,42,12,22,213,80,57,13,78,17,351,46,73
"ENSG00000000938",104,79,7,29,0,3,1,20,243,41,166,265,211,10,11,0,0,22,1508
"ENSG00000000971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001036",1323,961,560,1366,743,610,1526,776,745,646,1043,3455,2379,1596,602,177,1316,1640,919
"ENSG00000001084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001167",858,523,632,673,503,365,824,327,1913,963,1864,2901,1960,1306,989,513,2267,886,2612
"ENSG00000001460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001497",13,9,4,7,5,7,9,18,46,20,10,51,39,10,49,54,7,16,36
"ENSG00000001561",6346,3563,13970,6367,6572,6605,10864,1756,10812,5202,9120,16414,12774,2457,9530,5819,6078,6188,6044
"ENSG00000001617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002016",3,34,20,6,2,13,21,11,0,20,112,78,46,38,25,0,14,45,27
"ENSG00000002079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002330",485,465,226,575,542,255,443,143,207,252,1049,1911,1353,465,432,113,616,605,185
"ENSG00000002549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002587",36,88,26,18,28,17,132,1,100,68,53,52,66,448,65,3,88,43,15
"ENSG00000002726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002745",0,28,20,1,41,0,20,0,28,77,75,96,56,22,18,0,70,4,86
"ENSG00000002746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002834",1002,654,235,1186,474,218,508,423,854,694,5564,9553,7197,878,337,160,541,339,2492
